,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
112,Kevin Huerter,SG/SF,ATL,116.0,5.0,4100,,15.0,3.7,20.7,17.7,18.9,19.1,41.9,18.30%,Kevin Huerter (12151713),20.7
113,DeMarre Carroll,SF/PF,BKN,121.0,-5.5,4000,,22.9,5.7,25.2,22.4,24.5,24.0,52.1,20.50%,DeMarre Carroll (12151757),25.2
114,Jake Layman,SF/PF,POR,112.0,2.5,4000,,21.2,5.3,19.6,22.5,23.7,21.9,57.2,25.10%,Jake Layman (12151734),19.6
115,Avery Bradley,PG/SG,MEM,108.5,-3.0,4000,,21.9,5.5,22.2,16.8,17.4,18.8,42.7,18.70%,Avery Bradley (12151753),22.2
116,Justin Holiday,SG/SF,MEM,108.5,-3.0,4000,,12.4,3.1,22.0,23.3,24.1,23.1,45.1,19.80%,Justin Holiday (12151738),22.0
117,Bryn Forbes,PG/SG,SAS,112.0,-4.0,4000,,19.5,4.9,19.2,21.1,22.2,20.8,39.2,17.60%,Bryn Forbes (12151749),19.2
118,Bam Adebayo,C/PF,MIA,107.25,9.0,4000,,20.0,5.0,20.1,19.8,20.3,20.0,52.5,21.50%,Bam Adebayo (12151745),20.1
119,Ivica Zubac,C,LAC,108.75,9.5,4000,,22.8,5.7,20.1,21.2,21.9,21.1,39.7,17.40%,Ivica Zubac (12151743),20.1
12,Blake Griffin,C/PF,DET,107.5,4.0,8700,,40.8,4.7,43.1,43.8,45.1,44.0,47.3,19.80%,Blake Griffin (12151293),43.1
120,Taj Gibson,C/PF,MIN,120.0,-5.0,4000,,27.1,6.8,17.7,13.2,14.4,15.1,47.3,20.10%,Taj Gibson (12151730),17.7
121,Andre Iguodala,SG/SF,GSW,116.25,-9.0,3900,,23.0,5.9,19.4,20.3,21.8,20.5,41.0,18.50%,Andre Iguodala (12151769),19.4
122,Patty Mills,PG/SG,SAS,112.0,-4.0,3900,,21.4,5.5,20.2,19.0,19.9,19.7,41.6,18.70%,Patty Mills (12151761),20.2
123,Dorian Finney-Smith,SF/PF,DAL,107.25,1.0,3800,,23.4,6.2,22.4,20.9,21.5,21.6,39.2,17.00%,Dorian Finney-Smith (12151796),22.4
124,Allen Crabbe,SG/SF,BKN,121.0,-5.5,3800,,18.8,5.0,21.2,20.8,22.8,21.6,45.3,17.80%,Allen Crabbe (12151778),21.2
125,Landry Shamet,SG/SF,LAC,108.75,9.5,3800,,13.0,3.4,19.6,19.4,20.1,19.7,46.8,20.50%,Landry Shamet (12151787),19.6
126,Shai Gilgeous-Alexander,PG/SG,LAC,108.75,9.5,3800,,14.7,3.9,16.0,18.6,19.2,17.9,48.7,21.30%,Shai Gilgeous-Alexander (12151783),16.0
127,Marco Belinelli,SG/SF,SAS,112.0,-4.0,3700,,17.7,4.8,20.5,19.3,20.3,20.0,40.0,18.00%,Marco Belinelli (12151800),20.5
128,Cory Joseph,PG/SG,IND,108.25,-1.0,3700,,13.2,3.6,16.6,16.1,16.6,16.4,49.3,19.50%,Cory Joseph (12151805),16.6
129,Moe Harkless,SF/PF,POR,112.0,2.5,3600,,27.4,7.6,17.2,20.5,21.5,19.7,46.4,20.30%,Moe Harkless (12151819),17.2
13,Lauri Markkanen,C/PF,CHI,105.0,3.0,8600,,51.0,5.9,40.6,38.1,38.8,39.2,55.2,24.40%,Lauri Markkanen (12151301),40.6
130,Jalen Brunson,PG/SG,DAL,107.25,1.0,3600,,22.1,6.1,17.0,20.6,21.2,19.6,41.0,17.80%,Jalen Brunson (12151811),17.0
131,Davis Bertans,SF/PF,SAS,112.0,-4.0,3600,,18.1,5.0,19.0,19.9,21.0,20.0,44.9,20.10%,Davis Bertans (12151815),19.0
132,James Johnson,SF/PF,MIA,107.25,9.0,3600,,16.9,4.7,16.2,17.1,17.6,17.0,46.6,19.10%,James Johnson (12151836),16.2
133,Wayne Ellington,SG/SF,DET,107.5,4.0,3600,,17.2,4.8,22.8,16.9,17.3,19.0,39.3,16.50%,Wayne Ellington (12151849),22.8
134,Maxi Kleber,C/PF,DAL,107.25,1.0,3600,,14.6,4.1,14.8,17.4,17.9,16.7,54.1,23.50%,Maxi Kleber (12151823),14.8
